test_name,scene,variable,value,render_mode,N,K,styles_per_object,mean_cpu_ms,median_cpu_ms,p95_cpu_ms,p99_cpu_ms,max_cpu_ms,std_cpu_ms,mean_gpu_ms,median_gpu_ms,p95_gpu_ms,p99_gpu_ms,max_gpu_ms,std_gpu_ms
StackedStylesScaling,TestScene2,StylesPerObject,1,Fullscreen,32,32,1,2.825037,2.581875,4.052262,4.310713,5.188500,0.564147,6.698035,6.778125,8.199198,8.350002,8.548416,0.896624
StackedStylesScaling,TestScene2,StylesPerObject,1,CPU,32,32,1,1.536039,1.420229,2.720341,2.946838,4.502792,0.451955,3.439151,3.135896,4.665395,4.876323,5.042708,0.673435
StackedStylesScaling,TestScene2,StylesPerObject,1,GPU,32,32,1,1.520657,1.466750,2.470333,2.737659,5.660375,0.463054,3.268105,3.087124,4.229491,4.361400,4.421374,0.559745
StackedStylesScaling,TestScene2,StylesPerObject,8,Fullscreen,32,32,8,4.394242,4.026000,5.483355,5.691612,7.262583,0.632952,10.894792,11.033104,12.011783,12.401295,15.121625,0.787707
StackedStylesScaling,TestScene2,StylesPerObject,8,CPU,32,32,8,1.599073,1.522917,2.748404,2.876216,2.958042,0.397951,3.486721,3.167000,4.613004,4.720199,4.933916,0.648128
StackedStylesScaling,TestScene2,StylesPerObject,8,GPU,32,32,8,1.596299,1.513208,2.773142,2.908001,3.612083,0.424776,3.459195,3.157229,4.637059,4.734761,5.079875,0.671079
StackedStylesScaling,TestScene2,StylesPerObject,2,Fullscreen,32,32,2,3.066234,2.810833,4.245549,4.307731,4.565375,0.555160,7.379897,7.664416,8.602785,8.777260,8.865583,0.786339
StackedStylesScaling,TestScene2,StylesPerObject,2,CPU,32,32,2,1.509823,1.428875,2.679797,2.813333,2.897375,0.403187,3.273880,2.980500,4.439293,4.554720,4.828500,0.658907
StackedStylesScaling,TestScene2,StylesPerObject,16,Fullscreen,32,32,16,6.230355,5.702562,7.403106,7.641959,9.026750,0.766878,16.335796,16.297375,17.877427,18.688469,20.819208,0.908616
StackedStylesScaling,TestScene2,StylesPerObject,16,CPU,32,32,16,1.741515,1.628209,2.888035,3.118451,3.543834,0.421169,3.726021,3.422833,4.882565,5.077955,5.477749,0.659664
StackedStylesScaling,TestScene2,StylesPerObject,16,GPU,32,32,16,1.727397,1.583479,2.951643,3.029473,3.350292,0.425372,3.841930,3.626333,5.076998,5.217912,5.256416,0.685404
StackedStylesScaling,TestScene2,StylesPerObject,1,Fullscreen,32,32,1,2.824871,2.584167,4.060356,4.265269,4.938666,0.569907,6.933545,6.771396,8.221502,8.562028,9.908875,0.964067
StackedStylesScaling,TestScene2,StylesPerObject,1,CPU,32,32,1,1.506402,1.403250,2.672548,2.829411,2.925958,0.392134,3.353670,3.070500,4.594249,4.691730,4.762750,0.635008
StackedStylesScaling,TestScene2,StylesPerObject,1,GPU,32,32,1,1.513713,1.416771,2.615321,2.812030,3.049500,0.389107,3.295346,3.043958,4.475960,4.616013,4.678333,0.611787
StackedStylesScaling,TestScene2,StylesPerObject,8,Fullscreen,32,32,8,4.408350,4.021500,5.539873,5.764531,8.242417,0.693407,11.143443,10.985104,12.404879,14.239618,15.764375,1.017172
StackedStylesScaling,TestScene2,StylesPerObject,8,CPU,32,32,8,1.624360,1.492042,2.840527,3.005038,3.159667,0.422092,3.614227,3.314021,4.798637,4.928067,5.146791,0.657943
StackedStylesScaling,TestScene2,StylesPerObject,8,GPU,32,32,8,1.637571,1.497833,2.831935,3.008735,8.314916,0.521733,3.630759,3.344604,4.836524,4.958544,5.148916,0.693175
StackedStylesScaling,TestScene2,StylesPerObject,2,Fullscreen,32,32,2,3.109897,2.837042,4.322089,4.517248,6.315208,0.600549,7.833656,7.588458,8.967005,9.512687,12.318750,1.007080
StackedStylesScaling,TestScene2,StylesPerObject,2,CPU,32,32,2,1.542467,1.402146,2.768236,2.902155,3.691042,0.434114,3.459532,3.237979,4.672854,4.763192,5.089208,0.689812
StackedStylesScaling,TestScene2,StylesPerObject,2,GPU,32,32,2,1.541049,1.451042,2.704685,2.960000,3.398875,0.419401,3.350261,3.062750,4.542919,4.891162,5.664291,0.676532
StackedStylesScaling,TestScene2,StylesPerObject,4,Fullscreen,32,32,4,3.500975,3.200542,4.662521,4.773973,5.111209,0.586097,8.518654,8.817583,9.416749,9.642407,10.537374,0.714521
StackedStylesScaling,TestScene2,StylesPerObject,4,CPU,32,32,4,1.539962,1.472126,2.612496,2.829440,4.655375,0.429554,3.315462,3.019333,4.506447,4.611950,4.659916,0.676084
